iter	MultiClass
0	1.687402068
1	1.615519169
2	1.543440596
3	1.483400158
4	1.427479665
5	1.379529949
6	1.337387257
7	1.300728399
8	1.269004558
9	1.240901335
10	1.212737657
11	1.186674227
12	1.166716588
13	1.14543146
14	1.123745621
15	1.10831944
16	1.0933441
17	1.077837605
18	1.064190879
19	1.051503249
20	1.039561095
21	1.028967541
22	1.018738445
23	1.008858799
24	0.9997244161
25	0.992098991
26	0.9847223125
27	0.9766628843
28	0.9701745273
29	0.9635184562
30	0.9569294865
31	0.9502119265
32	0.9435707061
33	0.9370905086
34	0.930234444
35	0.9250017736
36	0.919768808
37	0.9154290213
38	0.9103823516
39	0.9056603701
40	0.9012894576
41	0.8965111352
42	0.8917262312
43	0.8870396183
44	0.8837897487
45	0.8794225923
46	0.8765036564
47	0.872818239
48	0.8694920489
49	0.8653052523
50	0.8611129922
51	0.8585186973
52	0.8558779505
53	0.8516582046
54	0.8493289829
55	0.8460109646
56	0.8429099211
57	0.8407334087
58	0.8373004625
59	0.8332348121
60	0.8309367968
61	0.828393294
62	0.8258881045
63	0.8228634046
64	0.8203567409
65	0.8175384975
66	0.8139455694
67	0.812156167
68	0.8089540004
69	0.8077660586
70	0.8057292971
71	0.8031735745
72	0.7998445581
73	0.7983709493
74	0.795910274
75	0.7935271942
76	0.7921260489
77	0.789257746
78	0.7865919053
79	0.7845152664
80	0.782007977
81	0.7783170938
82	0.775637195
83	0.7746355243
84	0.7731393093
85	0.7702102451
86	0.7686125865
87	0.7658970529
88	0.7632383977
89	0.7605764603
90	0.7587806851
91	0.7574272335
92	0.7553600082
93	0.7525628818
94	0.75067193
95	0.7480389274
96	0.7462021951
97	0.7446951296
98	0.7415096754
99	0.7396652282
100	0.737680285
101	0.7356614419
102	0.7334106657
103	0.7316651816
104	0.7291765749
105	0.7272110931
106	0.725277777
107	0.7218313206
108	0.7197775671
109	0.7188780572
110	0.7169107148
111	0.7146598835
112	0.7121005135
113	0.7104023554
114	0.7076128362
115	0.7063710983
116	0.7046689197
117	0.7018436599
118	0.7003934636
119	0.6976618125
120	0.694686864
121	0.6923225031
122	0.6895369241
123	0.6887733144
124	0.686895536
125	0.6850405031
126	0.6830782453
127	0.681445725
128	0.6797166835
129	0.6768662176
130	0.6732911654
131	0.6716055883
132	0.6697366421
133	0.667990077
134	0.6649211973
135	0.6626745257
136	0.6609272881
137	0.6599772644
138	0.6581128133
139	0.6565525689
140	0.6540238052
141	0.6521983388
142	0.6510156194
143	0.648454609
144	0.646283325
145	0.6436453787
146	0.6417003158
147	0.640010065
148	0.6383942902
149	0.6365141782
150	0.6346891649
151	0.6326531426
152	0.6308073931
153	0.6290665627
154	0.6273428811
155	0.6260997935
156	0.6250466985
157	0.6231959861
158	0.6223276078
159	0.6207138003
160	0.6184634322
161	0.6173984464
162	0.6158525449
163	0.6145789082
164	0.6115298749
165	0.6100181994
166	0.6088906878
167	0.6076821856
168	0.6057883708
169	0.6038010794
170	0.6023248942
171	0.6009331528
172	0.5994989821
173	0.5971268702
174	0.5957219132
175	0.5945883703
176	0.594093697
177	0.5925461739
178	0.5908650188
179	0.5891518348
180	0.5874116625
181	0.5860795196
182	0.5845836853
183	0.5823844201
184	0.5802339995
185	0.5786836756
186	0.5766573399
187	0.5747684253
188	0.5729539463
189	0.571189411
190	0.5695341961
191	0.5670908818
192	0.5652074216
193	0.5630322655
194	0.5624555056
195	0.5612055902
196	0.5599094325
197	0.5573131504
198	0.55614356
199	0.555164393
200	0.5538309016
201	0.5521757161
202	0.5512988938
203	0.5505573474
204	0.5489850203
205	0.5470177121
206	0.5456311495
207	0.5436042815
208	0.5421240747
209	0.5410577057
210	0.539510719
211	0.5382406772
212	0.5368212824
213	0.5362271792
214	0.5348127188
215	0.5331591588
216	0.5318626019
217	0.5296980402
218	0.5285059142
219	0.5263834654
220	0.5250017584
221	0.5226965458
222	0.5214893306
223	0.5206345465
224	0.5199110414
225	0.5190037588
226	0.5178818691
227	0.5170057614
228	0.5154294851
229	0.5145140052
230	0.5128305653
231	0.510674083
232	0.5096276873
233	0.5084827337
234	0.5076739033
235	0.5070287615
236	0.5054155016
237	0.5043518131
238	0.5035413409
239	0.5021820985
240	0.5011602728
241	0.4991035325
242	0.4983502197
243	0.4971925441
244	0.4961047618
245	0.4945634894
246	0.4933284256
247	0.4923368705
248	0.4915752972
249	0.4905763804
250	0.4893581697
251	0.4873807751
252	0.486292437
253	0.4856105943
254	0.4841581312
255	0.4825127479
256	0.4814667052
257	0.4802069662
258	0.4788298224
259	0.4779496737
260	0.4768258741
261	0.4755900104
262	0.4751141088
263	0.4737697336
264	0.4727684598
265	0.4714440626
266	0.4705035313
267	0.4696635999
268	0.4687443519
269	0.4675344863
270	0.4668574798
271	0.4652456665
272	0.4646925203
273	0.463124579
274	0.4623258191
275	0.4612783299
276	0.4593361469
277	0.4575359573
278	0.457255674
279	0.4560823726
280	0.455835273
281	0.4547648823
282	0.453648186
283	0.4520473329
284	0.4515575685
285	0.4503392017
286	0.4491929507
287	0.4484169646
288	0.4473770178
289	0.4464275199
290	0.4454281445
291	0.4445159969
292	0.4431616298
293	0.4424331326
294	0.441830848
295	0.4404664382
296	0.4392652448
297	0.4379818275
298	0.4371872193
299	0.4358315452
300	0.4349487793
301	0.4339824856
302	0.432797771
303	0.4321727391
304	0.431106699
305	0.4301855441
306	0.428900734
307	0.4278500902
308	0.4272054942
309	0.426190307
310	0.4249911754
311	0.4244711975
312	0.4234412251
313	0.4226640138
314	0.4218353383
315	0.4204839909
316	0.4194508464
317	0.418906156
318	0.4175082826
319	0.4169726289
320	0.4160309123
321	0.4150755671
322	0.4136904723
323	0.4130103696
324	0.4117803669
325	0.4111010501
326	0.4104553343
327	0.4096936777
328	0.4089371906
329	0.4081713758
330	0.4076753297
331	0.4067404521
332	0.4064005743
333	0.4060152207
334	0.4057309038
335	0.4048675944
336	0.4037954489
337	0.4032156541
338	0.4022167623
339	0.4013081589
340	0.4002083725
341	0.3996535935
342	0.3989587718
343	0.3985185797
344	0.3974967079
345	0.3969917565
346	0.3960205155
347	0.3952206664
348	0.3944171911
349	0.3935458361
350	0.3925232565
351	0.391806906
352	0.3912130055
353	0.3904215195
354	0.3892313323
355	0.3881721137
356	0.3871018709
357	0.3864439833
358	0.3854139697
359	0.3850448978
360	0.3844863319
361	0.3835270185
362	0.3826747718
363	0.3819727028
364	0.3811836935
365	0.380157649
366	0.379155677
367	0.3782980071
368	0.3775025261
369	0.3769420897
370	0.376672782
371	0.3755886779
372	0.3746227298
373	0.3742063697
374	0.3732517599
375	0.3725011276
376	0.3716642413
377	0.3711931524
378	0.3704518935
379	0.3697583705
380	0.3690701418
381	0.3686080979
382	0.3681121939
383	0.3676807343
384	0.3670792821
385	0.3661127234
386	0.3651086877
387	0.3646047211
388	0.3638227328
389	0.3623210556
390	0.3615139761
391	0.3610121336
392	0.3602797002
393	0.3592893649
394	0.3580343645
395	0.356933877
396	0.3561857404
397	0.3551135601
398	0.3543680313
399	0.3532583656
400	0.3526473005
401	0.3518049537
402	0.3509833555
403	0.3505739074
404	0.3496065056
405	0.3487106088
406	0.347427362
407	0.3466948094
408	0.3462478479
409	0.3454986234
410	0.3447610599
411	0.3439894123
412	0.3434853111
413	0.3429949858
414	0.3427989742
415	0.3416729244
416	0.3411861985
417	0.3407916065
418	0.3404271605
419	0.3392428
420	0.3388708841
421	0.3382263117
422	0.3372948964
423	0.3364055576
424	0.335677513
425	0.3346398848
426	0.3332283693
427	0.3325681276
428	0.3318196712
429	0.3308649098
430	0.3304690041
431	0.329895781
432	0.3292373656
433	0.328602413
434	0.3282412835
435	0.3274322618
436	0.3266687871
437	0.3260602337
438	0.325504049
439	0.3245889085
440	0.3237575965
441	0.322972363
442	0.32263414
443	0.3219305483
444	0.321293862
445	0.3207164501
446	0.3202820878
447	0.3200322917
448	0.3193191038
449	0.3189000446
450	0.3185628451
451	0.3177645207
452	0.3171328376
453	0.3160642047
454	0.3152843672
455	0.3145874467
456	0.313766889
457	0.3133420861
458	0.3126688015
459	0.3121818701
460	0.3116684758
461	0.3110011738
462	0.3105796367
463	0.3095610299
464	0.3089177464
465	0.3082253366
466	0.3071817675
467	0.3065851461
468	0.3060302273
469	0.3055831791
470	0.3046811458
471	0.3040472139
472	0.3027578207
473	0.3023623839
474	0.3019149063
475	0.3011746422
476	0.3007583218
477	0.3003136419
478	0.2997388501
479	0.2992002376
480	0.2986588965
481	0.2980487497
482	0.2975879087
483	0.297243491
484	0.2968446569
485	0.2960107067
486	0.2954175801
487	0.2948004135
488	0.2942172841
489	0.2935562357
490	0.2932471723
491	0.2929575613
492	0.292365894
493	0.2920585493
494	0.2916555084
495	0.2911472176
496	0.2907689012
497	0.2904405225
498	0.2900501604
499	0.2896158934
500	0.2889016017
501	0.2881107556
502	0.2874069035
503	0.2871513962
504	0.2866195186
505	0.285797309
506	0.2852615613
507	0.2846954507
508	0.2841218355
509	0.2832515391
510	0.2828447314
511	0.2823082103
512	0.2817864591
513	0.2813202425
514	0.2809113188
515	0.2804498232
516	0.280082363
517	0.279463083
518	0.2791112802
519	0.2786457624
520	0.2779368355
521	0.2774571719
522	0.2767422993
523	0.2762993597
524	0.2759048393
525	0.2754559549
526	0.2747790319
527	0.2746039899
528	0.2741025843
529	0.2738374463
530	0.2730820871
531	0.2723996582
532	0.2721234201
533	0.271528446
534	0.2711459237
535	0.2706631117
536	0.2703265166
537	0.269906367
538	0.2690720565
539	0.2682205288
540	0.267955907
541	0.2674954129
542	0.2671508657
543	0.2664290249
544	0.2659713684
545	0.2652762989
546	0.2648653718
547	0.2643912582
548	0.2640854469
549	0.2635187934
550	0.2626771795
551	0.2621075493
552	0.2617656257
553	0.2614365455
554	0.2610095863
555	0.2604773388
556	0.259729276
557	0.2591665241
558	0.2587491117
559	0.2580371701
560	0.2574620286
561	0.2569983451
562	0.256693894
563	0.2561821246
564	0.2556435935
565	0.2549462116
566	0.2545434431
567	0.2542639806
568	0.2538260441
569	0.2534520262
570	0.2529191719
571	0.2526189148
572	0.2523747201
573	0.2520897644
574	0.2517389261
575	0.2511813549
576	0.2507660247
577	0.250254392
578	0.2498745082
579	0.2492417789
580	0.2485845618
581	0.247861465
582	0.2473253173
583	0.246948471
584	0.2464893648
585	0.2460006479
586	0.245645318
587	0.2451976666
588	0.2446056589
589	0.2440218421
590	0.2435095528
591	0.2428667795
592	0.24250552
593	0.2419632007
594	0.241615791
595	0.2413807746
596	0.2407578127
597	0.2403658919
598	0.239631449
599	0.2393575133
600	0.2388587496
601	0.2383192053
602	0.2380100809
603	0.2376512759
604	0.2372395451
605	0.2368196275
606	0.2365215995
607	0.2361812104
608	0.2358030297
609	0.2355773299
610	0.23488976
611	0.2343711072
612	0.234026859
613	0.2335757161
614	0.2332257099
615	0.2327600861
616	0.2324823335
617	0.2322478347
618	0.2318130586
619	0.2312075822
620	0.2308500291
621	0.2306854287
622	0.2301319072
623	0.2296788427
624	0.2293175605
625	0.2291498599
626	0.2286430657
627	0.2282822601
628	0.2281398584
629	0.2278882196
630	0.2274837893
