iter	Passed	Remaining
0	14	14773
1	26	13097
2	33	11097
3	40	10094
4	50	9991
5	57	9483
6	68	9675
7	77	9617
8	85	9451
9	93	9271
10	100	9070
11	107	8846
12	114	8681
13	120	8461
14	126	8287
15	133	8234
16	140	8113
17	145	7956
18	152	7891
19	159	7829
20	166	7750
21	171	7639
22	178	7587
23	184	7509
24	191	7465
25	198	7428
26	203	7344
27	210	7311
28	219	7341
29	226	7315
30	233	7307
31	241	7311
32	250	7346
33	257	7327
34	265	7315
35	274	7342
36	280	7306
37	289	7318
38	295	7292
39	303	7295
40	316	7399
41	329	7515
42	340	7585
43	353	7689
44	366	7772
45	376	7805
46	383	7776
47	390	7747
48	399	7752
49	406	7728
50	419	7806
51	431	7875
52	440	7868
53	447	7841
54	454	7810
55	465	7850
56	477	7892
57	489	7944
58	497	7939
59	505	7916
60	514	7917
61	521	7891
62	528	7856
63	534	7818
64	540	7779
65	546	7738
66	554	7715
67	561	7692
68	571	7712
69	580	7708
70	586	7678
71	594	7665
72	601	7642
73	607	7599
74	613	7572
75	620	7539
76	627	7519
77	633	7487
78	639	7459
79	647	7445
80	654	7422
81	661	7401
82	668	7381
83	674	7359
84	681	7339
85	690	7336
86	697	7322
87	707	7336
88	720	7372
89	729	7378
90	739	7382
91	746	7363
92	752	7343
93	760	7328
94	773	7367
95	786	7406
96	797	7421
97	804	7406
98	811	7382
99	817	7359
100	824	7340
101	831	7324
102	839	7308
103	846	7289
104	852	7270
105	860	7256
106	867	7241
107	874	7225
108	882	7210
109	888	7192
110	895	7175
111	903	7159
112	910	7145
113	917	7128
114	924	7115
115	931	7100
116	938	7085
117	946	7072
118	953	7056
119	960	7043
120	967	7028
121	974	7012
122	981	6999
123	990	6995
124	997	6980
125	1004	6967
126	1011	6951
127	1018	6937
128	1025	6924
129	1032	6911
130	1040	6899
131	1047	6887
132	1056	6889
133	1067	6897
134	1079	6914
135	1090	6925
136	1102	6941
137	1111	6943
138	1118	6928
139	1125	6916
140	1131	6893
141	1138	6876
142	1144	6858
143	1150	6840
144	1156	6817
145	1162	6802
146	1170	6794
147	1177	6777
148	1184	6763
149	1191	6752
150	1198	6740
151	1205	6726
152	1212	6712
153	1219	6701
154	1226	6688
155	1233	6675
156	1241	6664
157	1248	6652
158	1254	6638
159	1262	6626
160	1270	6622
161	1281	6627
162	1294	6645
163	1306	6662
164	1315	6659
165	1323	6646
166	1329	6634
167	1337	6621
168	1344	6609
169	1351	6598
170	1358	6586
171	1365	6574
172	1372	6560
173	1379	6549
174	1387	6539
175	1393	6524
176	1399	6506
177	1405	6492
178	1411	6474
179	1418	6460
180	1425	6449
181	1431	6434
182	1438	6423
183	1445	6412
184	1453	6401
185	1460	6389
186	1467	6378
187	1474	6368
188	1481	6356
189	1488	6346
190	1495	6334
191	1502	6324
192	1509	6313
193	1516	6302
194	1523	6291
195	1530	6279
196	1537	6266
197	1544	6257
198	1552	6247
199	1557	6229
200	1562	6211
201	1568	6194
202	1573	6177
203	1579	6161
204	1584	6146
205	1592	6136
206	1598	6124
207	1605	6112
208	1611	6099
209	1616	6082
210	1622	6067
211	1629	6057
212	1635	6042
213	1641	6027
214	1647	6016
215	1653	6002
216	1659	5987
217	1666	5978
218	1673	5968
219	1680	5959
220	1687	5949
221	1695	5941
222	1702	5931
223	1709	5921
224	1716	5912
225	1723	5901
226	1729	5888
227	1736	5878
228	1744	5872
229	1750	5859
230	1757	5849
231	1764	5841
232	1771	5831
233	1778	5822
234	1785	5813
235	1792	5801
236	1798	5790
237	1805	5780
238	1812	5771
239	1820	5763
240	1827	5755
241	1834	5746
242	1840	5734
243	1847	5724
244	1853	5712
245	1860	5703
246	1867	5694
247	1878	5694
248	1885	5685
249	1892	5678
250	1899	5669
251	1907	5661
252	1914	5653
253	1921	5643
254	1928	5635
255	1936	5627
256	1943	5618
257	1952	5615
258	1964	5620
259	1978	5631
260	1991	5637
261	2000	5634
262	2007	5624
263	2013	5613
264	2020	5604
265	2027	5595
266	2035	5586
267	2041	5576
268	2048	5566
269	2055	5557
270	2062	5548
271	2070	5540
272	2081	5542
273	2096	5555
274	2106	5553
275	2114	5545
276	2119	5532
277	2125	5519
278	2130	5506
279	2136	5493
280	2142	5480
281	2147	5468
282	2153	5455
283	2158	5442
284	2165	5431
285	2170	5419
286	2176	5407
287	2182	5396
288	2189	5387
289	2196	5378
290	2203	5369
291	2211	5363
292	2225	5370
293	2238	5374
294	2245	5365
295	2251	5354
296	2257	5343
297	2264	5334
298	2271	5325
299	2279	5319
300	2286	5310
301	2292	5299
302	2306	5305
303	2318	5308
304	2330	5311
305	2339	5305
306	2346	5297
307	2353	5288
308	2360	5279
309	2368	5270
310	2375	5262
311	2382	5253
312	2389	5245
313	2396	5236
314	2403	5227
315	2416	5229
316	2429	5234
317	2442	5238
318	2456	5243
319	2468	5246
320	2478	5242
321	2487	5238
322	2501	5243
323	2514	5245
324	2525	5245
325	2539	5251
326	2553	5255
327	2562	5250
328	2570	5241
329	2577	5232
330	2583	5221
331	2594	5219
332	2607	5222
333	2619	5224
334	2627	5214
335	2633	5204
336	2641	5196
337	2647	5184
338	2652	5172
339	2658	5160
340	2664	5149
341	2671	5140
342	2679	5131
343	2685	5121
344	2692	5111
345	2699	5102
346	2704	5089
347	2710	5078
348	2717	5069
349	2724	5059
350	2731	5051
351	2739	5042
352	2745	5033
353	2753	5024
354	2760	5014
355	2767	5005
356	2774	4996
357	2780	4987
358	2788	4978
359	2795	4969
360	2802	4960
361	2809	4951
362	2817	4943
363	2824	4935
364	2832	4926
365	2839	4918
366	2846	4909
367	2853	4900
368	2861	4892
369	2867	4882
370	2873	4872
371	2880	4862
372	2887	4853
373	2894	4845
374	2901	4836
375	2908	4827
376	2916	4818
377	2923	4809
378	2931	4804
379	2939	4795
380	2948	4790
381	2958	4785
382	2964	4775
383	2970	4764
384	2975	4753
385	2983	4745
386	2990	4736
387	2997	4727
388	3003	4718
389	3016	4718
390	3025	4712
391	3032	4703
392	3040	4695
393	3050	4692
394	3057	4683
395	3064	4674
396	3072	4666
397	3079	4657
398	3086	4648
399	3093	4639
400	3100	4631
401	3108	4624
402	3121	4623
403	3128	4615
404	3134	4605
405	3141	4595
406	3151	4591
407	3164	4592
408	3178	4592
409	3189	4589
410	3196	4581
411	3203	4572
412	3214	4569
413	3221	4559
414	3228	4551
415	3234	4540
416	3239	4529
417	3245	4518
418	3250	4507
419	3257	4498
420	3264	4489
421	3271	4480
422	3278	4472
423	3285	4463
424	3293	4455
425	3299	4445
426	3305	4435
427	3312	4427
428	3318	4417
429	3324	4407
