iter	Passed	Remaining
0	14	14512
1	18	9108
2	21	7182
3	25	6314
4	29	5952
5	37	6196
6	43	6182
7	48	6037
8	52	5834
9	57	5646
10	64	5775
11	73	6011
12	81	6214
13	88	6229
14	91	6040
15	95	5858
16	98	5684
17	101	5546
18	104	5412
19	108	5322
20	112	5244
21	116	5168
22	119	5067
23	122	5000
24	126	4946
25	130	4894
26	134	4850
27	138	4811
28	142	4768
29	146	4729
30	150	4693
31	153	4657
32	157	4624
33	161	4592
34	167	4620
35	175	4689
36	195	5076
37	201	5100
38	213	5262
39	221	5304
40	228	5336
41	234	5343
42	242	5406
43	248	5390
44	256	5441
45	263	5466
46	269	5470
47	274	5449
48	278	5413
49	282	5372
50	286	5335
51	290	5296
52	294	5260
53	298	5224
54	302	5191
55	305	5156
56	309	5126
57	317	5163
58	321	5131
59	325	5102
60	329	5072
61	335	5074
62	339	5047
63	343	5019
64	346	4991
65	351	4978
66	356	4957
67	359	4930
68	364	4923
69	372	4944
70	379	4967
71	385	4974
72	391	4966
73	396	4966
74	402	4964
75	407	4956
76	413	4955
77	418	4949
78	424	4948
79	430	4945
80	436	4952
81	444	4973
82	452	4996
83	458	5004
84	463	4993
85	468	4976
86	472	4954
87	475	4932
88	479	4911
89	483	4891
90	487	4870
91	491	4849
92	495	4829
93	498	4809
94	502	4786
95	506	4766
96	510	4748
97	513	4728
98	517	4713
99	521	4696
100	525	4677
101	529	4660
102	536	4671
103	543	4683
104	549	4686
105	556	4695
106	564	4709
107	570	4711
108	576	4710
109	584	4729
110	593	4751
111	599	4754
112	604	4744
113	612	4761
114	619	4770
115	627	4783
116	634	4791
117	642	4800
118	649	4805
119	655	4807
120	662	4814
121	670	4822
122	677	4829
123	689	4869
124	695	4869
125	700	4859
126	704	4843
127	708	4824
128	712	4809
129	716	4793
130	720	4777
131	723	4758
132	727	4742
133	733	4740
134	741	4747
135	747	4748
136	755	4758
137	761	4754
138	766	4746
139	771	4736
140	776	4729
141	780	4715
142	784	4700
143	788	4685
144	791	4669
145	795	4655
146	799	4640
147	802	4621
148	808	4619
149	816	4624
150	823	4631
151	831	4638
152	838	4640
153	843	4633
154	847	4621
155	853	4617
156	860	4621
157	864	4609
158	872	4612
159	879	4616
160	886	4620
161	893	4622
162	901	4628
163	909	4634
164	913	4623
165	921	4628
166	930	4640
167	939	4652
168	944	4643
169	952	4651
170	960	4654
171	968	4663
172	976	4667
173	982	4665
174	988	4659
175	993	4649
176	997	4636
177	1000	4619
178	1004	4605
179	1007	4591
180	1012	4579
181	1016	4569
182	1021	4561
183	1036	4598
184	1042	4591
185	1046	4581
186	1050	4568
187	1055	4557
188	1059	4545
189	1063	4533
190	1067	4521
191	1071	4509
192	1075	4497
193	1079	4484
194	1083	4472
195	1087	4462
196	1093	4458
197	1099	4455
198	1104	4443
199	1107	4430
200	1111	4416
201	1114	4403
202	1117	4388
203	1121	4374
204	1127	4371
205	1131	4360
206	1135	4348
207	1139	4337
208	1142	4325
209	1146	4314
210	1150	4303
211	1154	4291
212	1158	4280
213	1162	4269
214	1166	4258
215	1170	4247
216	1174	4236
217	1177	4225
218	1181	4214
219	1187	4211
220	1191	4200
221	1195	4190
222	1199	4178
223	1206	4180
224	1214	4181
225	1220	4179
226	1228	4182
227	1235	4184
228	1240	4176
229	1246	4172
230	1252	4169
231	1259	4169
232	1266	4169
233	1274	4171
234	1281	4172
235	1287	4168
236	1291	4157
237	1298	4158
238	1306	4160
239	1326	4200
240	1332	4197
241	1339	4194
242	1347	4198
243	1355	4199
244	1362	4200
245	1370	4200
246	1377	4198
247	1382	4191
248	1386	4182
249	1390	4171
250	1394	4161
251	1398	4151
252	1402	4140
253	1406	4130
254	1410	4119
255	1413	4109
256	1417	4098
257	1421	4087
258	1425	4077
259	1429	4067
260	1432	4057
261	1436	4047
262	1440	4036
263	1444	4026
264	1448	4016
265	1452	4006
266	1455	3996
267	1459	3987
268	1463	3977
269	1467	3967
270	1471	3958
271	1475	3948
272	1495	3982
273	1504	3985
274	1511	3986
275	1525	4002
276	1533	4003
277	1542	4006
278	1549	4005
279	1556	4001
280	1562	3997
281	1570	3997
282	1578	3998
283	1586	3998
284	1593	3997
285	1600	3995
286	1607	3994
287	1615	3994
288	1623	3994
289	1630	3992
290	1638	3990
291	1644	3986
292	1646	3973
293	1650	3963
294	1658	3963
295	1667	3965
296	1675	3964
297	1692	3988
298	1698	3981
299	1701	3971
300	1707	3965
301	1714	3963
302	1721	3958
303	1725	3949
304	1732	3947
305	1740	3946
306	1747	3945
307	1755	3943
308	1762	3940
309	1769	3937
310	1774	3931
311	1779	3923
312	1783	3914
313	1786	3902
314	1790	3892
315	1793	3883
316	1796	3870
317	1799	3860
318	1803	3850
319	1807	3840
320	1811	3830
321	1814	3821
322	1818	3812
323	1822	3802
324	1826	3793
325	1831	3787
326	1838	3784
327	1847	3785
328	1855	3784
329	1861	3779
330	1868	3776
331	1876	3775
332	1884	3774
333	1891	3772
334	1898	3768
335	1902	3760
336	1908	3754
337	1916	3753
338	1922	3748
339	1929	3745
340	1936	3741
341	1945	3742
342	1951	3738
343	1959	3736
344	1966	3733
345	1972	3727
346	1976	3720
347	1981	3711
348	1985	3703
349	1988	3692
350	1992	3683
351	1995	3674
352	2001	3667
353	2008	3664
354	2015	3662
355	2021	3657
356	2026	3649
357	2030	3641
358	2034	3632
359	2038	3624
360	2042	3615
361	2050	3613
362	2058	3612
363	2065	3608
364	2073	3607
365	2081	3605
366	2089	3603
367	2097	3602
368	2105	3601
369	2113	3598
370	2120	3595
371	2125	3588
372	2131	3582
373	2135	3574
374	2138	3564
375	2141	3554
376	2144	3544
377	2148	3535
378	2151	3525
379	2155	3517
380	2159	3509
381	2163	3500
382	2167	3491
383	2174	3488
384	2181	3485
385	2187	3479
386	2192	3473
387	2196	3465
388	2200	3456
389	2206	3450
390	2214	3448
391	2223	3448
392	2230	3444
393	2239	3443
394	2246	3440
395	2253	3436
396	2258	3430
397	2263	3423
398	2266	3414
399	2270	3406
400	2274	3397
401	2278	3388
402	2281	3380
403	2285	3371
404	2289	3363
405	2293	3355
406	2297	3347
407	2302	3340
408	2309	3337
409	2317	3334
410	2325	3332
411	2331	3328
412	2339	3325
413	2347	3322
414	2354	3318
415	2362	3316
416	2369	3313
417	2377	3310
418	2384	3306
419	2391	3302
420	2401	3302
421	2406	3296
422	2413	3291
423	2420	3288
424	2425	3281
425	2429	3273
426	2435	3268
427	2442	3264
428	2450	3261
429	2457	3257
430	2465	3254
431	2473	3251
432	2481	3249
