iter	Passed	Remaining
0	85	85846
1	141	70474
2	193	64467
3	250	62253
4	308	61481
5	378	62685
6	445	63232
7	499	61931
8	553	60905
9	608	60239
10	664	59741
11	720	59325
12	776	58944
13	832	58610
14	903	59340
15	979	60264
16	1056	61073
17	1112	60686
18	1167	60299
19	1232	60390
20	1276	59521
21	1335	59372
22	1391	59120
23	1447	58862
24	1503	58620
25	1556	58326
26	1612	58093
27	1667	57880
28	1723	57717
29	1801	58247
30	1856	58023
31	1910	57806
32	1967	57645
33	2023	57479
34	2102	57978
35	2156	57752
36	2210	57542
37	2264	57333
38	2316	57082
39	2371	56910
40	2426	56754
41	2480	56584
42	2535	56426
43	2590	56290
44	2646	56173
45	2703	56059
46	2757	55921
47	2814	55816
48	2869	55700
49	2925	55582
50	2981	55475
51	3035	55341
52	3090	55215
53	3145	55111
54	3221	55343
55	3289	55445
56	3339	55249
57	3394	55131
58	3450	55030
59	3506	54933
60	3577	55071
61	3632	54958
62	3697	54989
63	3768	55119
64	3824	55016
65	3879	54896
66	3934	54789
67	3990	54692
68	4046	54593
69	4101	54491
70	4156	54390
71	4211	54281
72	4267	54186
73	4320	54067
74	4373	53941
75	4428	53842
76	4482	53732
77	4536	53623
78	4611	53763
79	4669	53695
80	4741	53791
81	4809	53839
82	4863	53731
83	4916	53614
84	4968	53489
85	5023	53387
86	5078	53295
87	5131	53181
88	5184	53067
89	5237	52956
90	5292	52870
91	5348	52786
92	5403	52699
93	5455	52579
94	5509	52484
95	5565	52408
96	5621	52328
97	5675	52234
98	5730	52151
99	5785	52072
100	5840	51985
101	5901	51958
102	5971	52006
103	6026	51918
104	6102	52019
105	6160	51955
106	6227	51977
107	6281	51881
108	6337	51806
109	6415	51906
110	6467	51799
111	6523	51724
112	6578	51639
113	6633	51556
114	6689	51479
115	6742	51385
116	6798	51304
117	6851	51213
118	6904	51117
119	6958	51031
120	7013	50951
121	7068	50866
122	7122	50784
123	7179	50722
124	7241	50693
125	7295	50605
126	7349	50519
127	7404	50440
128	7462	50387
129	7521	50333
130	7574	50248
131	7629	50168
132	7684	50090
133	7737	50006
134	7793	49934
135	7846	49848
136	7901	49776
137	7955	49695
138	8011	49626
139	8066	49549
140	8120	49468
141	8174	49389
142	8238	49376
143	8293	49300
144	8347	49219
145	8402	49146
146	8456	49071
147	8510	48993
148	8563	48908
149	8617	48830
150	8673	48766
151	8727	48691
152	8782	48620
153	8836	48541
154	8893	48484
155	8945	48395
156	8995	48298
157	9050	48231
158	9105	48160
159	9175	48170
160	9225	48076
161	9280	48004
162	9353	48029
163	9407	47954
164	9462	47884
165	9516	47812
166	9570	47739
167	9622	47654
168	9699	47695
169	9754	47626
170	9809	47554
171	9863	47481
172	9942	47526
173	10022	47577
174	10076	47505
175	10130	47428
176	10188	47372
177	10237	47275
178	10310	47291
179	10364	47213
180	10419	47145
181	10473	47072
182	10528	47003
183	10582	46932
184	10633	46846
185	10692	46794
186	10757	46768
187	10809	46689
188	10898	46764
189	10969	46766
190	11038	46756
191	11093	46685
192	11169	46703
193	11221	46623
194	11284	46584
195	11341	46525
196	11386	46412
197	11432	46306
198	11485	46229
199	11539	46156
200	11594	46088
201	11648	46015
202	11701	45941
203	11754	45864
204	11808	45794
205	11863	45724
206	11918	45658
207	11980	45616
208	12035	45549
209	12090	45483
210	12168	45501
211	12223	45433
